iter	Passed	Remaining
0	0	68
1	1	61
2	1	61
3	2	55
4	2	54
5	3	53
6	3	52
7	4	51
8	5	52
9	5	51
10	6	54
11	7	54
12	8	54
13	8	54
14	9	52
15	9	51
16	10	50
17	10	49
18	11	48
19	11	47
20	12	48
21	13	47
22	14	46
23	14	46
24	15	45
25	15	44
26	16	43
27	16	42
28	17	42
29	17	41
30	18	41
31	19	40
32	19	40
33	20	39
34	21	39
35	21	38
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	23
62	38	22
63	39	21
64	39	21
65	40	20
66	41	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	62	0
99	63	0
