iter	Passed	Remaining
0	151	151442
1	152	75988
2	154	51288
3	156	38942
4	157	31317
5	159	26396
6	160	22732
7	162	20118
8	164	18143
9	166	16454
10	168	15117
11	169	13938
12	171	13008
13	172	12121
14	174	11453
15	177	10892
16	179	10365
17	180	9848
18	181	9369
19	182	8936
20	183	8545
21	184	8210
22	185	7888
23	186	7596
24	188	7332
25	189	7084
26	190	6868
27	191	6664
28	193	6476
29	194	6298
30	196	6130
31	197	5960
32	198	5810
33	199	5669
34	200	5526
35	201	5393
36	202	5272
37	203	5155
38	204	5047
39	205	4942
40	206	4841
41	207	4735
42	208	4635
43	209	4544
44	209	4455
45	211	4377
46	211	4294
47	212	4214
48	213	4141
49	214	4066
50	214	3994
51	215	3924
52	215	3857
53	216	3791
54	216	3728
55	217	3667
56	218	3608
57	218	3555
58	219	3503
59	220	3450
60	220	3398
61	221	3348
62	221	3299
63	222	3252
64	222	3206
65	223	3161
66	223	3119
67	224	3077
68	225	3037
69	225	2997
70	226	2959
71	226	2921
72	227	2884
73	227	2848
74	228	2814
75	228	2780
76	229	2747
77	229	2716
78	230	2684
79	230	2653
80	231	2623
81	231	2594
82	232	2563
83	232	2535
84	233	2508
85	233	2482
86	234	2456
87	234	2431
88	235	2406
89	235	2382
90	236	2358
91	236	2335
92	237	2312
93	237	2289
94	238	2267
95	238	2246
96	238	2224
97	239	2204
98	239	2183
99	240	2164
100	240	2144
101	241	2125
102	241	2106
103	242	2088
104	242	2070
105	243	2052
106	243	2034
107	244	2017
108	244	2000
109	245	1984
110	245	1968
111	246	1952
112	246	1936
113	247	1921
114	247	1906
115	248	1891
116	248	1877
117	249	1865
118	250	1851
119	250	1837
120	251	1825
121	251	1811
122	252	1798
123	252	1785
124	253	1772
125	253	1759
126	254	1746
127	254	1733
128	255	1721
129	255	1709
130	256	1698
131	256	1686
132	256	1675
133	257	1663
134	257	1652
135	258	1642
136	258	1631
137	259	1620
138	259	1610
139	260	1599
140	260	1589
141	261	1578
142	261	1568
143	262	1558
144	262	1549
145	263	1540
146	264	1532
147	264	1525
148	265	1516
149	266	1507
150	266	1499
151	267	1490
152	267	1481
153	268	1472
154	268	1464
155	269	1456
156	269	1447
157	270	1439
158	270	1431
159	271	1423
160	271	1414
161	272	1407
162	272	1399
163	273	1392
164	273	1385
165	274	1377
166	274	1370
167	275	1363
168	275	1356
169	276	1349
170	276	1342
171	277	1335
172	277	1328
173	278	1321
174	279	1315
175	279	1309
176	280	1303
177	280	1296
178	281	1290
179	281	1284
180	282	1277
181	282	1271
182	283	1265
183	284	1259
184	284	1253
185	285	1248
186	285	1241
187	286	1236
188	286	1231
189	287	1225
190	288	1220
191	288	1214
192	289	1208
193	289	1203
194	290	1197
195	290	1192
196	291	1186
197	291	1181
198	292	1176
199	292	1171
200	293	1166
201	294	1161
202	294	1156
203	295	1152
204	295	1147
205	296	1142
206	297	1137
207	297	1133
208	298	1128
209	298	1123
210	299	1118
211	299	1114
212	300	1109
213	300	1104
214	301	1101
215	302	1096
216	302	1092
217	303	1087
218	303	1083
219	304	1078
220	304	1074
221	305	1069
222	305	1065
223	306	1061
224	306	1057
225	307	1052
226	308	1048
227	308	1044
228	309	1041
229	309	1037
230	310	1033
231	311	1029
232	311	1025
233	312	1022
234	312	1018
235	313	1014
236	314	1011
237	314	1007
238	315	1003
239	315	999
240	316	995
241	316	992
242	317	988
243	317	984
244	318	981
245	318	977
246	319	974
247	320	970
248	320	967
249	321	963
250	321	960
251	322	956
252	322	953
253	323	949
254	323	946
255	324	943
256	325	940
257	326	937
258	326	934
259	327	931
260	327	928
261	328	924
262	328	921
263	329	918
264	330	915
265	330	912
266	331	908
267	331	905
268	332	902
269	332	899
270	333	896
271	333	892
272	334	889
273	334	886
274	335	884
275	335	880
276	336	878
277	336	875
278	337	872
279	338	869
280	338	866
281	339	864
282	340	861
283	340	859
284	341	856
285	341	853
286	342	850
287	342	847
288	343	845
289	344	842
290	344	840
291	345	837
292	346	835
293	346	832
294	347	829
295	347	826
296	348	824
297	348	821
298	349	818
299	349	816
300	350	813
301	350	811
302	351	808
303	351	805
304	352	803
305	353	800
306	353	797
307	353	795
308	354	793
309	355	791
310	356	788
311	356	786
312	357	784
313	358	782
314	358	779
315	359	777
316	359	774
317	360	772
318	360	770
319	361	767
320	361	765
321	362	762
322	362	760
323	363	758
324	363	755
325	364	753
326	364	751
327	365	748
328	366	746
329	366	744
330	367	741
331	367	739
332	368	737
333	368	735
334	369	732
335	369	730
336	370	728
337	371	726
338	371	724
339	372	722
340	372	720
341	373	718
342	374	716
343	374	714
344	375	712
345	376	711
346	376	708
347	377	707
348	377	704
349	378	702
350	378	700
351	379	698
352	380	696
353	380	694
354	381	692
355	381	690
356	382	688
357	382	686
358	383	684
359	384	682
360	384	680
361	385	679
362	386	677
363	386	675
364	387	674
365	388	672
366	388	670
367	389	668
368	389	666
369	390	664
370	390	662
371	391	660
372	391	658
373	392	656
374	392	654
375	393	653
376	394	651
377	394	649
378	395	647
379	395	645
380	396	643
381	396	641
382	397	639
383	397	638
384	398	636
385	398	634
386	399	632
387	400	631
388	400	629
389	401	627
390	401	626
391	402	624
392	403	622
393	403	621
394	404	619
395	405	617
396	405	616
397	406	614
398	406	612
399	407	610
400	407	609
401	408	607
402	408	605
403	409	604
404	409	602
405	410	600
406	411	598
407	411	597
408	412	595
409	412	593
410	413	592
411	413	590
412	414	588
413	414	587
414	415	585
415	416	584
416	416	582
417	417	581
418	418	579
419	418	577
420	419	576
421	419	574
422	420	573
423	420	571
424	421	569
425	421	568
426	422	566
427	422	565
428	423	563
429	423	562
430	424	560
431	425	558
432	425	557
433	426	555
434	426	554
435	427	552
436	427	551
437	428	549
438	428	548
439	429	546
440	429	545
441	430	543
442	431	542
443	432	541
444	432	539
445	433	538
446	434	536
447	434	535
448	435	534
449	435	532
450	436	531
451	436	529
452	437	527
453	437	526
454	438	525
455	438	523
456	439	522
457	440	520
458	440	519
459	441	517
460	441	516
461	442	514
462	442	513
463	443	512
464	443	510
465	444	509
466	445	508
467	445	506
468	446	505
469	446	504
470	447	502
471	448	501
472	448	500
473	449	498
474	450	497
475	450	496
476	451	494
477	451	493
478	452	491
479	452	490
480	453	489
481	453	487
482	454	486
483	454	485
484	455	483
485	456	482
486	456	481
487	457	479
488	457	478
489	458	477
490	458	475
491	459	474
492	459	472
493	460	471
494	461	470
495	461	469
496	462	467
497	462	466
498	463	465
499	464	464
500	464	462
501	465	461
502	465	460
503	466	458
504	466	457
505	467	456
506	467	455
507	468	453
508	469	452
509	469	451
510	470	449
511	470	448
512	471	447
513	471	446
514	472	444
515	472	443
516	473	442
517	473	441
518	474	439
519	475	438
520	475	437
521	476	436
522	477	435
523	477	434
524	478	433
525	479	431
526	479	430
527	480	429
528	481	428
529	481	427
530	482	425
531	482	424
532	483	423
533	484	422
534	484	421
535	485	420
536	485	419
537	486	417
538	487	416
539	487	415
540	488	414
541	488	413
542	489	412
543	490	410
544	490	409
545	491	408
546	492	407
547	492	406
548	493	405
549	494	404
550	494	403
551	495	402
552	496	401
553	496	399
554	497	398
555	497	397
556	498	396
557	499	395
558	499	394
559	500	393
560	500	391
561	501	390
562	502	389
563	502	388
564	503	387
565	503	386
566	504	385
567	505	384
568	505	382
569	506	381
570	506	380
571	507	379
572	508	378
573	509	377
574	509	376
575	510	375
576	511	374
577	511	373
578	512	372
579	513	371
580	513	370
581	514	369
582	514	368
583	515	367
584	516	366
585	516	365
586	517	363
587	517	362
588	518	361
589	519	360
590	519	359
591	520	358
592	521	357
593	521	356
594	522	355
595	523	354
596	523	353
597	524	352
598	525	351
599	525	350
600	526	349
601	526	348
602	527	347
603	528	346
604	528	345
605	529	344
606	530	343
607	530	342
608	531	341
609	532	340
610	532	339
611	533	338
612	533	337
613	534	336
614	535	334
615	535	333
616	536	332
617	536	331
618	537	330
619	538	329
620	539	328
621	539	327
622	540	327
623	541	326
624	541	324
625	542	324
